Rodent species,Zoonotic reservoir,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Production,postnatGR,RelAgeSexMat,RelAgeBirth,logNeoBM,Abrocomidae,Anomaluridae,Aplodontiidae,Bathyergidae,Calomyscidae,Capromyidae,Castoridae,Caviidae,Chinchillidae,Cricetidae,Ctenodactylidae,Ctenomyidae,Cuniculidae,Dasyproctidae,Dinomyidae,Dipodidae,Echimyidae,Erethizontidae,Geomyidae,Gliridae,Heptaxodontidae,Heteromyidae,Hystricidae,Muridae,Myocastoridae,Nesomyidae,Octodontidae,Pedetidae,Petromuridae,Platacanthomyidae,Sciuridae,Spalacidae,Thryonomyidae,ln.max.long,ln.litter.size,ln.litters.yr,ln.body.mass,ln.production,mean.prevalence,IUCN_binomial,Neotropic,Nearctic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Antarctic
Sigmodon_alstoni,1,2,4.01998015,118.50868,14.6159457,112.99031,93.57542,66.69863,3,75.94771,3.22400211,1,0.00267243,-6.2233076,36.56536,5.18,5,39.59844,43.16695,5.05967939,23.22987,4.13340501,1.2651,7.177,1,1,23.9797833,24.4485361,91.53196,45.38678,3.8646863,8.27555,46.0217027,13.4975044,11.18,-1.43,4.87,-49.87,-72.69,-61.28,0,2.97195175,0,0.15,141.76,252.89,1364.92,1708.22,0.78552501,6.78502057,0.0825291,0.10171683,0.56065404,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67878972,1.64480506,1.60943791,1.39127696,3.25424297,0.22868929,Sigmodon alstoni,1,0,0,0,0,0,0,0
Sigmodon_hirsutus,0,1.306,4.31305136,122.04341,15.15832,123.15967,93.7848,80.7232527,2.703,82.57927,3.436265,1.087,0.00249655,-6.0109656,38.44429,2.25322,5.13504,49.2506129,46.94134,5.67981471,10.92471,4.21447538,1.07288,4.928,1.614,2.049,24.86733,24.353,100.52798,55.13486,3.7461863,8.32262,57.2536327,10.613975,5.01852,-1.5836224,1.46389,-14.62368,-31.606512,-45.148913,8.822,4.58381909,14.1995163,0.09398341,134.69524,208.670623,1325.27938,1527.64118,0.75866495,5.05208342,0.0550296,0.08054945,0.64663329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89692181,0.8123603,1.63608763,1.46164563,2.44844794,0.21298751,Sigmodon hirsutus,1,0,0,0,0,0,0,0
Sigmodon_inopinatus,0,1.583,4.94520749,166.5947,12.0643321,107.84839,160.86846,135.930263,2.59174074,85.47287,3.58252093,1.525,0.00165948,-6.4619853,55.53188,2.32449706,3.88165,41.11464,52.14692,6.37955106,7.9937,4.35315988,1.14813,4.465,1.185,1.446,22.3252,34.316355,132.50771,138.948812,3.2088763,8.84135,73.2828827,9.93700163,-0.81,-3.54,-2.18,-77.98,-79.3,-78.64,2,3.67908161,2,0.07,212.79,141.54,1188.22,1356.53,0.45597049,4.1487834,0.08407825,0.09301844,0.89026945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71636426,0.8435037,1.35626032,1.59841892,2.19976402,0.23757626,Sigmodon inopinatus,1,0,0,0,0,0,0,0
Sigmodon_peruanus,0,1.163,3.74683971,108.56064,12.91792,91.38608,58.08368,39.7302567,2.91,66.39762,3.2860682,1.385,0.00130966,-6.6702009,29.17856,3.32469,5.221534,37.08335,34.0649,7.2233826,14.18213,3.77844037,1.21951,5.672,1.267,1.815,20.79953,13.01458,86.88443,33.27478,4.06138857,6.90279,53.7129827,11.4711677,-0.03,-8.57,-4.3,-78.71,-81.35,-80.03,0,4.4816457,25,0.09,57.16,218.19,678.88,1335.65,0.76036518,4.84598639,0.05454074,0.07961036,0.40792123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61316808,1.20137644,1.65279123,1.32091274,2.85416767,0.25271229,Sigmodon peruanus,1,0,0,0,0,0,0,0
Sigmodontomys_alfari,0,1.181,3.96931982,113.02174,15.83346,125.80417,76.04163,65.2101027,3.081,74.52738,3.42198165,1.092,0.00274729,-5.9380462,35.51181,2.89406,5.35512625,47.3638529,45.5792,5.62248235,19.44129,4.20601427,1.02835,5.182,1.16675,2.006,24.3154333,23.3898061,89.66494,38.27975,3.7632663,8.12292,48.9025527,12.6606891,14.92,-2.35,6.28,-71.33,-85.86,-78.59,2,3.95297299,4,0.13,200.32,239.82,1422.19,1672.73,0.82656384,5.70099998,0.07050417,0.09220434,0.55226646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85785934,1.06266036,1.67805428,1.37859475,2.74071464,0.21583039,Sigmodontomys alfari,1,0,0,0,0,0,0,0
Spalacopus_cyanus,0,2,4.61373342,132.78,7.5,251.70992,185.12,106.25,2,160.96024,4.38576962,2,7.86E-05,-10.119159,92.42813,3.14,2.32816,72,56.2,8.41183268,42.54204,5.176862,15,6,1,1,59.66,46.39,133.37184,365.52127,2.3876,9.56703,151.398913,11.2471224,-26.92,-36.39,-31.66,-69.97,-72.87,-71.42,1,4.45562555,2,0.09,30.41,81.28,246.25,985.05,0.40267311,5.21822272,0.10162675,0.0918238,0.94890176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.27666612,1.1442228,0.84507826,1.52903738,1.98930106,0.18436653,Spalacopus cyanus,1,0,0,0,0,0,0,0
Spermophilus_adocetus,0,2.344,5.04677434,177.47,16.80176,162.67813,142.0001,174.55465,2,110.15452,3.65712676,2,0.00286771,-6.1852508,80.91694,2.24905706,2.17013,63.2845429,53.33742,6.13972254,9.05025,5.03830723,1.17225,5.427,1,1,32.52829,47.89908,138.6281,163.042142,2.6715763,10.01446,98.1910327,10.3427165,19.44,17.93,18.68,-99.46,-103,-101.23,9,3.74028524,14,0.08,95.75,221.76,875.59,1542.28,0.26353039,5.91684766,0.09581731,0.09956041,0.89973445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.14764111,0.81051104,0.77478707,1.6187493,1.58529812,0.19235476,Notocitellus adocetus,1,0,0,0,0,0,0,0
Spermophilus_perotensis,0,2.455,4.94164242,179,17.84336,164.99427,141.28373,161.41429,3.62,121.8483,3.46782979,1.829,0.0053235,-5.5976212,89.95049,6.07,2.21009,69.9115629,50.28484,5.87336423,8.40829,5.05962215,1.58276,6.566,1.569,1.653,37.59985,43.96861,131.25744,159.666612,2.7225163,9.66496,84.0966827,8.03588753,19.74,18.95,19.34,-97.03,-97.67,-97.35,92,4.88431593,92,0.08,127.83,127.66,1051.35,1373.26,0.41195149,6.88685809,0.09071807,0.08971622,0.7590906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.24723106,1.80335861,0.79303324,1.59769775,2.59639184,0.18334009,Xerospermophilus perotensis,1,0,0,0,0,0,0,0
Sphiggurus_ichillus,0,2.282,5.72281153,223.66863,11.1640721,203.37542,181.02456,283.524933,2.45274074,120.78164,4.02667114,1.633,0.0090587,-5.3298443,72.81244,1.62753706,3.94101,62.6202,71.40256,6.1867503,9.36446,4.71187213,1.87175,4.311,1.551,1.165,27.92229,82.50827,154.589693,373.4503,2.46105833,12.18415,110.726223,10.8654132,-1.5865216,-7.3830257,-4.98206,27.4318,19.05533,22.08815,18.248,4.75130571,20.4255,0.10957836,107.64697,209.20231,1220.93697,1498.64349,0.36729439,4.07105165,0.06069483,0.07977197,1.28728275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13708791,0.48706787,1.37143704,1.74446021,1.8585049,0.19511274,Coendou ichillus,1,0,0,0,0,0,0,0
Sphiggurus_insidiosus,0,1,6.90607387,350.56382,1.17307,345.69433,860.66089,2077.53544,3,639.142806,4.52574404,1,0.06557047,-3.2027651,179.559226,0.97,2.18627,120.460543,110.86823,3.26956894,25.89126,5.37359459,2.09142,5,2,2,45.22974,486.29683,262.19937,1236.70996,1.62597833,14.6829,417.46382,13.8930341,-7.08,-23.55,-15.31,-36.61,-46.85,-41.73,3,4.27957854,4,0.06,100.43,221.7,1071.72,1403.78,-0.0078645,5.58326386,0.0804061,0.12581531,1.96475513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79132225,-0.0304592,0.7821969,1.9324013,0.75173769,0.12761192,Coendou insidiosus,1,0,0,0,0,0,0,0
